timestamp,timestamp,meter_reading
2016-01-01 00:00:00,2016-01-01 00:00:00,149.5
2016-01-01 01:00:00,2016-01-01 01:00:00,155.275
2016-01-01 02:00:00,2016-01-01 02:00:00,152.125
2016-01-01 03:00:00,2016-01-01 03:00:00,150.1
2016-01-01 04:00:00,2016-01-01 04:00:00,152.95
2016-01-01 05:00:00,2016-01-01 05:00:00,154.95
2016-01-01 06:00:00,2016-01-01 06:00:00,228.375
2016-01-01 07:00:00,2016-01-01 07:00:00,219.125
2016-01-01 08:00:00,2016-01-01 08:00:00,218.625
2016-01-01 09:00:00,2016-01-01 09:00:00,221.275
2016-01-01 10:00:00,2016-01-01 10:00:00,224.3
2016-01-01 11:00:00,2016-01-01 11:00:00,222.7
2016-01-01 12:00:00,2016-01-01 12:00:00,225.625
2016-01-01 13:00:00,2016-01-01 13:00:00,229.975
2016-01-01 14:00:00,2016-01-01 14:00:00,219.9
2016-01-01 15:00:00,2016-01-01 15:00:00,230.3
2016-01-01 16:00:00,2016-01-01 16:00:00,223.3
2016-01-01 17:00:00,2016-01-01 17:00:00,241.0
2016-01-01 18:00:00,2016-01-01 18:00:00,231.575
2016-01-01 19:00:00,2016-01-01 19:00:00,229.975
2016-01-01 20:00:00,2016-01-01 20:00:00,229.55
2016-01-01 21:00:00,2016-01-01 21:00:00,172.65
2016-01-01 22:00:00,2016-01-01 22:00:00,147.075
2016-01-01 23:00:00,2016-01-01 23:00:00,146.8
2016-01-02 00:00:00,2016-01-02 00:00:00,152.2
2016-01-02 01:00:00,2016-01-02 01:00:00,147.35
2016-01-02 02:00:00,2016-01-02 02:00:00,148.6
2016-01-02 03:00:00,2016-01-02 03:00:00,154.525
2016-01-02 04:00:00,2016-01-02 04:00:00,149.0
2016-01-02 05:00:00,2016-01-02 05:00:00,154.825
2016-01-02 06:00:00,2016-01-02 06:00:00,150.525
2016-01-02 07:00:00,2016-01-02 07:00:00,176.15
2016-01-02 08:00:00,2016-01-02 08:00:00,217.925
2016-01-02 09:00:00,2016-01-02 09:00:00,218.625
2016-01-02 10:00:00,2016-01-02 10:00:00,219.575
2016-01-02 11:00:00,2016-01-02 11:00:00,222.525
2016-01-02 12:00:00,2016-01-02 12:00:00,220.925
2016-01-02 13:00:00,2016-01-02 13:00:00,219.25
2016-01-02 14:00:00,2016-01-02 14:00:00,220.6
2016-01-02 15:00:00,2016-01-02 15:00:00,225.85
2016-01-02 16:00:00,2016-01-02 16:00:00,224.85
2016-01-02 17:00:00,2016-01-02 17:00:00,230.025
2016-01-02 18:00:00,2016-01-02 18:00:00,233.575
2016-01-02 19:00:00,2016-01-02 19:00:00,233.575
2016-01-02 20:00:00,2016-01-02 20:00:00,234.625
2016-01-02 21:00:00,2016-01-02 21:00:00,238.475
2016-01-02 22:00:00,2016-01-02 22:00:00,152.175
2016-01-02 23:00:00,2016-01-02 23:00:00,147.35
2016-01-03 00:00:00,2016-01-03 00:00:00,150.4
2016-01-03 01:00:00,2016-01-03 01:00:00,153.975
2016-01-03 02:00:00,2016-01-03 02:00:00,150.3
2016-01-03 03:00:00,2016-01-03 03:00:00,151.575
2016-01-03 04:00:00,2016-01-03 04:00:00,151.675
2016-01-03 05:00:00,2016-01-03 05:00:00,147.85
2016-01-03 06:00:00,2016-01-03 06:00:00,153.225
2016-01-03 07:00:00,2016-01-03 07:00:00,163.55
2016-01-03 08:00:00,2016-01-03 08:00:00,223.4
2016-01-03 09:00:00,2016-01-03 09:00:00,227.275
2016-01-03 10:00:00,2016-01-03 10:00:00,222.375
2016-01-03 11:00:00,2016-01-03 11:00:00,218.6
2016-01-03 12:00:00,2016-01-03 12:00:00,219.9
2016-01-03 13:00:00,2016-01-03 13:00:00,223.8
2016-01-03 14:00:00,2016-01-03 14:00:00,220.225
2016-01-03 15:00:00,2016-01-03 15:00:00,222.55
2016-01-03 16:00:00,2016-01-03 16:00:00,223.425
2016-01-03 17:00:00,2016-01-03 17:00:00,234.9
2016-01-03 18:00:00,2016-01-03 18:00:00,231.875
2016-01-03 19:00:00,2016-01-03 19:00:00,231.425
2016-01-03 20:00:00,2016-01-03 20:00:00,231.55
2016-01-03 21:00:00,2016-01-03 21:00:00,228.75
2016-01-03 22:00:00,2016-01-03 22:00:00,152.825
2016-01-03 23:00:00,2016-01-03 23:00:00,153.0
2016-01-04 00:00:00,2016-01-04 00:00:00,153.325
2016-01-04 01:00:00,2016-01-04 01:00:00,152.675
2016-01-04 02:00:00,2016-01-04 02:00:00,148.4
2016-01-04 03:00:00,2016-01-04 03:00:00,151.35
2016-01-04 04:00:00,2016-01-04 04:00:00,152.325
2016-01-04 05:00:00,2016-01-04 05:00:00,153.35
2016-01-04 06:00:00,2016-01-04 06:00:00,228.5
2016-01-04 07:00:00,2016-01-04 07:00:00,226.875
2016-01-04 08:00:00,2016-01-04 08:00:00,238.225
2016-01-04 09:00:00,2016-01-04 09:00:00,252.1
2016-01-04 10:00:00,2016-01-04 10:00:00,251.375
2016-01-04 11:00:00,2016-01-04 11:00:00,258.875
2016-01-04 12:00:00,2016-01-04 12:00:00,251.125
2016-01-04 13:00:00,2016-01-04 13:00:00,261.65
2016-01-04 14:00:00,2016-01-04 14:00:00,255.95
2016-01-04 15:00:00,2016-01-04 15:00:00,257.26
2016-01-04 16:00:00,2016-01-04 16:00:00,253.3
2016-01-04 17:00:00,2016-01-04 17:00:00,243.575
2016-01-04 18:00:00,2016-01-04 18:00:00,236.625
2016-01-04 19:00:00,2016-01-04 19:00:00,236.15
2016-01-04 20:00:00,2016-01-04 20:00:00,237.05
2016-01-04 21:00:00,2016-01-04 21:00:00,181.075
2016-01-04 22:00:00,2016-01-04 22:00:00,162.775
2016-01-04 23:00:00,2016-01-04 23:00:00,157.925
2016-01-05 00:00:00,2016-01-05 00:00:00,153.875
2016-01-05 01:00:00,2016-01-05 01:00:00,158.15
2016-01-05 02:00:00,2016-01-05 02:00:00,161.95
2016-01-05 03:00:00,2016-01-05 03:00:00,153.425
2016-01-05 04:00:00,2016-01-05 04:00:00,156.025
2016-01-05 05:00:00,2016-01-05 05:00:00,158.225
2016-01-05 06:00:00,2016-01-05 06:00:00,232.425
2016-01-05 07:00:00,2016-01-05 07:00:00,232.525
2016-01-05 08:00:00,2016-01-05 08:00:00,239.2
2016-01-05 09:00:00,2016-01-05 09:00:00,252.175
2016-01-05 10:00:00,2016-01-05 10:00:00,255.9
2016-01-05 11:00:00,2016-01-05 11:00:00,261.4
2016-01-05 12:00:00,2016-01-05 12:00:00,256.475
2016-01-05 13:00:00,2016-01-05 13:00:00,256.475
2016-01-05 14:00:00,2016-01-05 14:00:00,259.525
2016-01-05 15:00:00,2016-01-05 15:00:00,258.475
2016-01-05 16:00:00,2016-01-05 16:00:00,253.275
2016-01-05 17:00:00,2016-01-05 17:00:00,246.65
2016-01-05 18:00:00,2016-01-05 18:00:00,241.7
2016-01-05 19:00:00,2016-01-05 19:00:00,238.925
2016-01-05 20:00:00,2016-01-05 20:00:00,234.725
2016-01-05 21:00:00,2016-01-05 21:00:00,179.925
2016-01-05 22:00:00,2016-01-05 22:00:00,153.35
2016-01-05 23:00:00,2016-01-05 23:00:00,157.225
2016-01-06 00:00:00,2016-01-06 00:00:00,155.825
2016-01-06 01:00:00,2016-01-06 01:00:00,150.85
2016-01-06 02:00:00,2016-01-06 02:00:00,155.375
2016-01-06 03:00:00,2016-01-06 03:00:00,154.275
2016-01-06 04:00:00,2016-01-06 04:00:00,158.475
2016-01-06 05:00:00,2016-01-06 05:00:00,157.2
2016-01-06 06:00:00,2016-01-06 06:00:00,233.9
2016-01-06 07:00:00,2016-01-06 07:00:00,236.275
2016-01-06 08:00:00,2016-01-06 08:00:00,241.9
2016-01-06 09:00:00,2016-01-06 09:00:00,254.725
2016-01-06 10:00:00,2016-01-06 10:00:00,252.3
2016-01-06 11:00:00,2016-01-06 11:00:00,262.65
2016-01-06 12:00:00,2016-01-06 12:00:00,257.4
2016-01-06 13:00:00,2016-01-06 13:00:00,259.0
2016-01-06 14:00:00,2016-01-06 14:00:00,271.7
2016-01-06 15:00:00,2016-01-06 15:00:00,254.825
2016-01-06 16:00:00,2016-01-06 16:00:00,258.2
2016-01-06 17:00:00,2016-01-06 17:00:00,253.0
2016-01-06 18:00:00,2016-01-06 18:00:00,243.625
2016-01-06 19:00:00,2016-01-06 19:00:00,241.875
2016-01-06 20:00:00,2016-01-06 20:00:00,242.0
2016-01-06 21:00:00,2016-01-06 21:00:00,181.975
2016-01-06 22:00:00,2016-01-06 22:00:00,158.775
2016-01-06 23:00:00,2016-01-06 23:00:00,161.125
2016-01-07 00:00:00,2016-01-07 00:00:00,158.9
2016-01-07 01:00:00,2016-01-07 01:00:00,160.0
2016-01-07 02:00:00,2016-01-07 02:00:00,160.65
2016-01-07 03:00:00,2016-01-07 03:00:00,164.575
2016-01-07 04:00:00,2016-01-07 04:00:00,158.575
2016-01-07 05:00:00,2016-01-07 05:00:00,160.125
2016-01-07 06:00:00,2016-01-07 06:00:00,237.35
2016-01-07 07:00:00,2016-01-07 07:00:00,232.225
2016-01-07 08:00:00,2016-01-07 08:00:00,240.475
2016-01-07 09:00:00,2016-01-07 09:00:00,248.75
2016-01-07 10:00:00,2016-01-07 10:00:00,257.025
2016-01-07 11:00:00,2016-01-07 11:00:00,257.975
2016-01-07 12:00:00,2016-01-07 12:00:00,260.65
2016-01-07 13:00:00,2016-01-07 13:00:00,260.3
2016-01-07 14:00:00,2016-01-07 14:00:00,262.775
