"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2017";"0000";"25,8";"26,0";"25,8";"73,0";"75,0";"73,0";"20,5";"21,3";"20,5";"1015,1";"1015,1";"1014,4";"1,4";"328,0";"4,4";"";"0,0"
"01/01/2017";"0100";"26,0";"26,1";"25,8";"74,0";"74,0";"71,0";"20,9";"21,0";"20,3";"1015,7";"1015,7";"1015,1";"1,7";"321,0";"4,9";"";"0,0"
"01/01/2017";"0200";"26,0";"26,0";"25,8";"73,0";"74,0";"73,0";"20,9";"20,9";"20,7";"1015,7";"1016,1";"1015,7";"2,8";"335,0";"6,8";"";"0,0"
"01/01/2017";"0300";"25,9";"26,1";"25,9";"73,0";"73,0";"72,0";"20,6";"20,9";"20,6";"1015,3";"1015,7";"1015,3";"1,9";"348,0";"6,8";"";"0,0"
"01/01/2017";"0400";"25,8";"26,0";"25,8";"73,0";"75,0";"72,0";"20,7";"21,0";"20,6";"1014,5";"1015,3";"1014,5";"2,2";"8,0";"6,1";"";"0,0"
"01/01/2017";"0500";"25,5";"25,8";"25,5";"76,0";"76,0";"73,0";"20,9";"21,0";"20,6";"1014,5";"1014,6";"1014,5";"1,4";"341,0";"5,3";"";"0,0"
"01/01/2017";"0600";"24,6";"25,5";"24,6";"79,0";"80,0";"75,0";"20,7";"21,1";"20,6";"1014,1";"1014,5";"1014,0";"1,1";"334,0";"4,5";"";"0,0"
"01/01/2017";"0700";"24,3";"24,6";"24,3";"81,0";"81,0";"79,0";"20,7";"20,8";"20,6";"1014,0";"1014,1";"1013,9";"0,9";"345,0";"4,0";"";"0,0"
"01/01/2017";"0800";"23,8";"24,3";"23,8";"84,0";"84,0";"81,0";"21,0";"21,0";"20,7";"1014,4";"1014,4";"1014,0";"0,7";"326,0";"2,5";"";"0,0"
"01/01/2017";"0900";"25,0";"25,0";"23,6";"74,0";"87,0";"74,0";"20,0";"21,8";"20,0";"1014,8";"1014,8";"1014,3";"2,1";"335,0";"4,8";"165,60";"0,0"
"01/01/2017";"1000";"26,8";"27,0";"25,0";"64,0";"74,0";"64,0";"19,5";"19,9";"19,2";"1014,9";"1015,0";"1014,7";"2,7";"326,0";"8,6";"923,70";"0,0"
"01/01/2017";"1100";"28,3";"28,3";"26,7";"58,0";"66,0";"58,0";"19,3";"20,1";"19,2";"1015,0";"1015,0";"1014,9";"3,4";"323,0";"7,8";"1602,70";"0,0"
"01/01/2017";"1200";"29,7";"29,7";"28,3";"53,0";"59,0";"52,0";"19,0";"19,7";"18,7";"1015,1";"1015,2";"1015,0";"2,5";"330,0";"7,1";"2076,10";"0,0"
"01/01/2017";"1300";"31,3";"31,3";"29,7";"47,0";"54,0";"44,0";"18,4";"19,5";"17,2";"1014,8";"1015,2";"1014,8";"3,0";"7,0";"6,7";"2937,70";"0,0"
"01/01/2017";"1400";"33,0";"33,0";"31,3";"42,0";"47,0";"39,0";"18,3";"18,8";"17,0";"1014,3";"1014,8";"1014,3";"2,7";"3,0";"7,9";"3707,80";"0,0"
"01/01/2017";"1500";"33,0";"33,6";"32,3";"38,0";"44,0";"37,0";"16,9";"18,5";"16,8";"1013,4";"1014,4";"1013,4";"2,6";"357,0";"9,0";"3145,50";"0,0"
"01/01/2017";"1600";"32,2";"33,2";"31,7";"45,0";"49,0";"38,0";"18,9";"20,3";"17,1";"1012,7";"1013,5";"1012,7";"4,4";"54,0";"10,1";"2903,50";"0,0"
"01/01/2017";"1700";"31,4";"32,5";"31,4";"50,0";"52,0";"44,0";"19,8";"20,5";"18,4";"1012,3";"1012,7";"1012,2";"4,5";"46,0";"10,1";"3163,80";"0,0"
"01/01/2017";"1800";"30,9";"32,0";"30,9";"52,0";"53,0";"48,0";"20,1";"20,2";"19,5";"1011,8";"1012,3";"1011,7";"5,2";"45,0";"10,5";"3056,50";"0,0"
"01/01/2017";"1900";"30,2";"31,1";"30,1";"57,0";"57,0";"52,0";"20,6";"20,7";"20,0";"1011,7";"1011,8";"1011,6";"4,7";"35,0";"11,2";"2247,90";"0,0"
"01/01/2017";"2000";"29,0";"30,3";"29,0";"64,0";"64,0";"56,0";"21,5";"21,6";"20,4";"1011,4";"1011,7";"1011,3";"3,3";"35,0";"11,3";"1393,20";"0,0"
"01/01/2017";"2100";"27,9";"29,0";"27,9";"70,0";"70,0";"64,0";"21,8";"21,9";"21,5";"1011,9";"1011,9";"1011,3";"3,5";"22,0";"12,9";"359,40";"0,0"
"01/01/2017";"2200";"27,0";"27,9";"27,0";"74,0";"74,0";"70,0";"22,0";"22,4";"21,7";"1012,7";"1012,7";"1012,0";"2,2";"356,0";"12,9";"11,10";"0,0"
"01/01/2017";"2300";"26,7";"27,0";"26,7";"73,0";"75,0";"73,0";"21,5";"22,1";"21,4";"1013,1";"1013,1";"1012,7";"3,9";"35,0";"8,4";"";"0,0"
"02/01/2017";"0000";"26,4";"26,7";"26,4";"73,0";"73,0";"71,0";"21,1";"21,5";"21,0";"1013,5";"1013,5";"1013,1";"2,7";"15,0";"7,8";"";"0,0"
"02/01/2017";"0100";"26,0";"26,4";"26,0";"75,0";"75,0";"73,0";"21,2";"21,2";"21,0";"1013,8";"1013,9";"1013,5";"1,6";"331,0";"7,3";"";"0,0"
"02/01/2017";"0200";"26,0";"26,0";"25,9";"74,0";"76,0";"74,0";"21,1";"21,3";"21,0";"1013,2";"1013,8";"1013,2";"2,4";"352,0";"6,8";"";"0,0"
"02/01/2017";"0300";"25,5";"26,1";"25,5";"75,0";"75,0";"73,0";"20,7";"21,2";"20,6";"1012,3";"1013,2";"1012,3";"1,6";"349,0";"7,6";"";"0,0"
"02/01/2017";"0400";"25,3";"25,5";"25,3";"75,0";"75,0";"74,0";"20,5";"20,7";"20,4";"1011,7";"1012,3";"1011,7";"1,6";"341,0";"5,4";"";"0,0"
"02/01/2017";"0500";"24,8";"25,3";"24,8";"79,0";"79,0";"75,0";"20,8";"21,0";"20,5";"1011,2";"1011,7";"1011,2";"1,3";"344,0";"6,3";"";"0,0"
"02/01/2017";"0600";"24,0";"24,8";"24,0";"82,0";"82,0";"79,0";"20,7";"20,9";"20,7";"1010,8";"1011,2";"1010,8";"1,5";"328,0";"3,4";"";"0,0"
"02/01/2017";"0700";"23,8";"24,1";"23,8";"78,0";"82,0";"76,0";"19,7";"20,7";"19,7";"1010,7";"1010,9";"1010,6";"1,0";"336,0";"3,6";"";"0,0"
"02/01/2017";"0800";"22,8";"23,9";"22,8";"84,0";"84,0";"78,0";"19,9";"20,0";"19,8";"1011,1";"1011,1";"1010,7";"0,8";"326,0";"3,7";"";"0,0"
"02/01/2017";"0900";"24,4";"24,4";"22,7";"76,0";"85,0";"76,0";"19,8";"20,3";"19,6";"1011,6";"1011,6";"1011,0";"0,9";"332,0";"3,8";"145,70";"0,0"
"02/01/2017";"1000";"27,1";"27,2";"24,4";"57,0";"76,0";"57,0";"17,9";"19,9";"17,9";"1011,9";"1011,9";"1011,6";"1,7";"339,0";"4,1";"925,00";"0,0"
"02/01/2017";"1100";"28,7";"28,7";"27,1";"52,0";"58,0";"52,0";"18,0";"18,5";"17,7";"1011,9";"1012,0";"1011,8";"3,0";"8,0";"7,4";"1799,20";"0,0"
"02/01/2017";"1200";"31,0";"31,0";"28,7";"47,0";"54,0";"46,0";"18,3";"18,7";"17,6";"1012,0";"1012,1";"1011,9";"2,5";"359,0";"6,8";"2604,10";"0,0"
"02/01/2017";"1300";"32,8";"32,8";"31,0";"45,0";"48,0";"43,0";"19,2";"19,2";"18,0";"1011,7";"1012,0";"1011,7";"2,5";"354,0";"7,8";"3251,50";"0,0"
"02/01/2017";"1400";"33,0";"33,3";"32,6";"43,0";"46,0";"41,0";"18,8";"19,7";"18,2";"1011,2";"1011,7";"1011,2";"3,2";"24,0";"8,0";"3339,80";"0,0"
"02/01/2017";"1500";"34,5";"34,9";"33,0";"43,0";"45,0";"37,0";"19,9";"19,9";"18,2";"1010,4";"1011,2";"1010,4";"3,2";"28,0";"7,8";"3877,30";"0,0"
"02/01/2017";"1600";"33,5";"34,5";"33,5";"46,0";"47,0";"43,0";"20,4";"20,7";"19,9";"1009,7";"1010,5";"1009,7";"3,6";"42,0";"9,1";"3629,70";"0,0"
"02/01/2017";"1700";"33,3";"33,6";"32,9";"46,0";"48,0";"45,0";"20,0";"20,6";"20,0";"1009,2";"1009,7";"1009,2";"2,9";"48,0";"10,5";"3248,30";"0,0"
